autor_id,"url","name","email","role"
72,"http://www.nrk.no/verden/beklager-tolketabbe-overfor-dove-1.11416327","Helge Carlsen",NULL,"Journalist "
73,"http://www.nrk.no/nordnytt/far-ikke-forlate-russland-1.11416012","Robin Mortensen",NULL,"Journalist "
74,"http://www.nrk.no/trondelag/ulmebrann-pa-mollenberg-1.11416345","Arne Kristian Gansmo",NULL,"Journalist "
75,"http://www.nrk.no/trondelag/_-jeg-har-aldri-opplevd-makan-1.11416007","Arne Kristian Gansmo",NULL,"Journalist "
76,"http://www.nrk.no/hordaland/hapar-pa-tilskudd-til-sykkel-vm-1.11416307","Åge Algerøy",NULL,"Journalist "
77,"http://www.nrk.no/hordaland/hapar-pa-tilskudd-til-sykkel-vm-1.11416307","Andreas Hagen",NULL,"Journalist "
78,"http://www.nrk.no/sorlandet/--iveland-overlever-ikke-1.11416315","Svein Sundsdal",NULL,"Journalist "
79,"http://www.nrk.no/sognogfjordane/sag-eldkule-pa-himmelen-1.11416179","Tone Merete Lillesvangstu",NULL,NULL
80,"http://www.nrk.no/ostlandssendingen/mest-ulovlige-arbeidsforhold-i-oslo-1.11411196","Grethe Kielland Jenssen",NULL,"Journalist "
81,"http://www.nrk.no/nyheter/norge/1.11415879","Ellen Viseth",NULL,"Journalist "
82,"http://www.nrk.no/nyheter/norge/1.11415879","Hedvig Bjørgum",NULL,"Journalist "
83,"http://www.nrk.no/nyheter/norge/1.11415879","Signe Karin Hotvedt",NULL,"Journalist "
84,"http://www.nrk.no/nyheter/norge/1.11416228","Ellen Viseth",NULL,"Journalist "
85,"http://www.nrk.no/nyheter/norge/1.11416228","Hedvig Bjørgum",NULL,"Journalist "
86,"http://www.nrk.no/nyheter/verden/1.11415617","Susanne Egset",NULL,"Journalist (Oslo) "
87,"http://www.nrk.no/nyheter/verden/1.11415617","Øyvind Nyborg",NULL,"Journalist (Kongo) "
88,"http://www.nrk.no/nyheter/distrikt/troms_og_finnmark/1.11416012","Robin Mortensen",NULL,"Journalist "
89,"http://www.nrk.no/nyheter/verden/1.11416327","Helge Carlsen",NULL,"Journalist "
90,"http://www.nrk.no/ho/nekter-for-at-hun-var-med-pa-ran-1.11415954","Anette Strand Sletmoen",NULL,"Journalist "
91,"http://www.nrk.no/ho/nekter-for-at-hun-var-med-pa-ran-1.11415954","Trond Ivan Hagen",NULL,"Journalist "
92,"http://www.nrk.no/ho/nekter-for-at-hun-var-med-pa-ran-1.11415954","Mette Finborud Børresen",NULL,"Journalist "
93,"http://www.nrk.no/nordnytt/legger-ned-distriktsarbeidsplasser-1.11416158","Robin Mortensen",NULL,"Journalist "
94,"http://www.nrk.no/nordnytt/hor-jardar-synge-julelat-1.11415874","Torill Ustad Stav",NULL,"Journalist "
95,"http://www.nrk.no/nordnytt/hor-jardar-synge-julelat-1.11415874","Jørn Resvoll",NULL,"Journalist "
